Country.of.Origin,Number.of.Bags,Bag.Weight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_mean_meters
Colombia,275,70,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,83,0.11,1775
Mexico,15,1,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,83,0.11,750
Mexico,20,1,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,83,0.11,1200
Mexico,250,1,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,83,0.11,1200
Colombia,250,70,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,83,0,NA
Colombia,250,70,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,83,0,1625
Colombia,250,70,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,83,0.11,1750
Guatemala,275,1,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,83,0.1,1371.6
Colombia,121,1,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,83,0.12,1775
Thailand,1,60,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83,0.28,NA
Colombia,300,70,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,83,0.08,1450
United States (Hawaii),23,100,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,83,0,NA
United States (Hawaii),5,100,7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,83,0,NA
Colombia,250,70,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,83,0.06,1800
Nicaragua,2,6,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,83,0.07,NA
Thailand,1,1,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,83,0,NA
Brazil,320,60,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,82.92,0,890
El Salvador,100,69,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,82.92,0,1350
Colombia,129,70,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,82.92,0.11,1500
Taiwan,10,20,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,82.92,0.09,350
Ethiopia,250,60,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,82.92,0,2000
Taiwan,11,2,7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,82.92,0,775
Philippines,250,2,7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,7.5,82.92,0.11,1200
Philippines,4,2,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,82.92,0,1600
Mexico,11,2,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,82.92,0.13,1059
Mexico,275,2,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,82.92,0.12,1300
Brazil,300,2,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,82.92,0.11,11000
Uganda,1,60,8,7.5,7.5,7.58,7.33,7.42,10,10,10,7.58,82.92,0.12,1650
Uganda,1,60,7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,7.5,82.92,0.12,1400
Guatemala,250,69,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,82.92,0.1,1500
Guatemala,26,69,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,82.92,0.1,1500
Guatemala,1,2,7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,7.75,82.92,0.1,NA
Colombia,250,70,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,82.92,0.11,1900
Colombia,250,70,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,82.92,0,1750
Guatemala,250,69,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,82.92,0.11,1706.88
Colombia,250,70,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,82.92,0.11,1450
Mexico,15,1,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,82.92,0.1,1248
Vietnam,1,2,7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,82.92,0,1040
Mexico,100,1,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,82.92,0.14,1400
United States (Hawaii),8,100,7.5,7.5,7.5,7.42,7.67,7.83,10,10,10,7.5,82.92,0.1,NA
Colombia,250,70,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,82.92,0.15,1450
Thailand,2,1,7.42,7.58,7.5,7.17,7.5,8,10,10,10,7.75,82.92,0,NA
Kenya,27,50,7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,82.83,0.1,1754
Guatemala,50,69,7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,82.83,0.11,1700
Brazil,320,60,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,82.83,0.11,905
El Salvador,275,69,7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,82.83,0,1250
Rwanda,150,60,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,82.83,0.11,1900
Vietnam,3,2,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,82.83,0.11,1040
Guatemala,80,69,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,82.83,0.11,1219.2
Brazil,300,60,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,82.83,0.12,900
Colombia,100,24,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,7.08,82.83,0,1600
United States,300,60,7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,7.58,82.83,0,1200
Guatemala,250,69,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,82.83,0.1,1500
Colombia,40,1,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,82.83,0,1800
Colombia,125,70,7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,82.83,0.11,1775
"Tanzania, United Republic Of",300,2,7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,82.83,0.11,1400
Mexico,250,1,7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,82.83,0.12,1550
Mexico,250,1,7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,82.83,0.12,1250
Guatemala,250,1,7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,82.83,0.11,1310.64
Mexico,250,1,7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,7.5,82.83,0.11,1380
El Salvador,250,69,7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,7.25,82.83,0,1200
Guatemala,275,69,7.5,7.58,7.42,7.67,7.58,7.5,10,10,10,7.5,82.75,0.1,1100
Guatemala,275,69,7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,82.75,0.11,1800
Guatemala,50,69,7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,82.75,0.11,1700
Guatemala,50,69,7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,82.75,0.1,1219.2
Guatemala,25,69,7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,82.75,0.1,1219.2
Indonesia,2,1,7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,7.58,82.75,0.12,1500
Guatemala,25,69,7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,82.75,0.12,157.8864
Taiwan,8,10,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,82.75,0,650
El Salvador,275,69,7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,7.67,82.75,0,1250
Costa Rica,250,69,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,82.75,0.09,1850
Honduras,275,69,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,82.75,0.09,1400
Brazil,320,60,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,82.75,0.11,905
China,3,60,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,82.75,0.1,1100
China,3,60,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,82.75,0.11,1500
Colombia,250,70,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,82.75,0,1775
Malawi,29,60,7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,82.75,0.12,1442
Guatemala,250,69,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,82.75,0.13,1524
Colombia,275,1,7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,7.67,82.75,0.12,165
United States (Hawaii),10,80,7.67,7.58,7.42,7.83,7.33,7.5,10,10,10,7.42,82.75,0.1,NA
United States (Hawaii),6,100,7.58,7.83,7.75,7.75,7.42,8,9.33,9.33,10,7.75,82.75,0.1,NA
Colombia,250,1,7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,7.5,82.75,0.1,1300
Mexico,32,1,7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,7.58,82.75,0.12,1550
Mexico,250,1,7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,7.67,82.75,0.12,1200
Mexico,21,1,8.08,8.17,8,8,7.83,7.92,6.67,10,10,8.08,82.75,0.12,1200
Colombia,250,70,7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,7.5,82.75,0,1625
Colombia,100,70,7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,7.42,82.75,0.11,1775
United States (Hawaii),6,100,7.25,7.75,7.5,7.83,7.67,7.67,9.33,10,10,7.75,82.75,0.12,NA
Panama,300,2,7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,7.58,82.75,0,1100
United States (Hawaii),14,1,7.75,7.67,7.5,7.83,7.17,7.42,10,10,10,7.42,82.75,0,NA
Brazil,320,60,7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,82.67,0,890
Brazil,320,60,7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,82.67,0.11,934
Laos,60,50,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.58,82.67,0.13,1300
El Salvador,275,69,7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,7.5,82.67,0,1200
Mexico,8,8,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,7.75,82.67,0.11,1300
Colombia,1,2,7.75,7.5,7.33,7.58,7.33,7.75,10,10,10,7.42,82.67,0,NA
Brazil,320,2,7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,82.67,0,1
Brazil,300,60,7.33,7.5,7.58,7.58,7.67,7.5,10,10,10,7.5,82.67,0.12,NA
"Tanzania, United Republic Of",93,60,7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,82.67,0.12,1700
"Tanzania, United Republic Of",77,60,7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,82.67,0.12,1550
Taiwan,10,60,8,7.83,7.83,7.42,7.25,7.25,10,10,10,7.08,82.67,0.08,1200
Mexico,11,1,7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,82.67,0.11,1296
Uganda,1,60,7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,7.5,82.67,0.12,1650
Taiwan,10,30,7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,7.5,82.67,0.11,1240
Thailand,300,60,7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,82.67,0.11,1500
Colombia,250,70,7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,7.42,82.67,0.11,1800
El Salvador,288,1,7.92,8,7.5,6.75,7.92,7.58,10,10,9.33,7.67,82.67,0,NA
Guatemala,275,69,7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,7.5,82.67,0.11,1500
Thailand,2,1,7.83,7.33,7.83,7.33,7.58,7.83,10,10,9.33,7.58,82.67,0.12,NA
Mexico,36,1,7.58,7.58,7.42,7.58,7.42,7.5,10,10,10,7.58,82.67,0.11,1100
Mexico,23,1,7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,7.58,82.67,0.12,950
Colombia,1,1,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,82.67,0.11,3850
United States (Hawaii),37,100,7.83,7.67,7.5,7.67,7.5,7.58,10,10,9.33,7.58,82.67,0.03,NA
Mexico,1,1,7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,7.08,82.67,0,1400
Colombia,250,70,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,82.67,0.08,1800
Colombia,270,70,7.5,7.42,7.33,7.33,7.67,7.83,10,10,10,7.58,82.67,0.21,NA
Guatemala,25,69,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,82.58,0.1,1219.2
Taiwan,6,5,7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,7.5,82.58,0.11,1050
Brazil,198,59,7.5,7.58,7.42,7.5,7.75,7.33,10,10,10,7.5,82.58,0.11,NA
Taiwan,1,10,7.25,7.25,7,7.08,7,7,10,10,10,10,82.58,0.11,200
Brazil,300,60,7.42,7.42,7.5,7.33,7.25,7.67,10,10,10,8,82.58,0,NA
Indonesia,150,2,7.83,7.58,7.42,7.33,7.42,7.5,10,10,10,7.5,82.58,0.13,1250
Thailand,1,1,7.75,7.33,7.42,7.67,7.42,7.5,10,10,10,7.5,82.58,0.12,800
Thailand,50,20,7.42,7.58,7.58,7.42,7.58,7.5,10,10,10,7.5,82.58,0.12,1450
"Tanzania, United Republic Of",10,60,7.75,7.42,7.33,7.5,7.58,7.5,10,10,10,7.5,82.58,0.12,1317
Uganda,1,60,7.83,7.5,7.42,7.58,7.42,7.42,10,10,10,7.42,82.58,0.12,1650
Costa Rica,250,1,7.67,7.42,7.5,7.67,7,7.75,10,10,10,7.58,82.58,0.11,1300
Mexico,320,5,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10,10,7.58,82.58,0,NA
Guatemala,1,2,7.5,7.58,7.42,7.58,7.42,7.58,10,10,10,7.5,82.58,0,NA
Colombia,250,70,7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,82.58,0.11,1750
Colombia,250,70,7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,7.42,82.58,0.11,1750
Colombia,250,70,7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,7.42,82.58,0.11,1750
Mexico,50,1,7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,82.58,0.1,1250
Mexico,70,1,7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,82.58,0.12,1150
Colombia,275,70,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,82.58,0.11,1775
Brazil,42,60,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,82.58,0,975
Brazil,320,60,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,82.5,0.11,890
Indonesia,2,1,7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,7.42,82.5,0.11,1250
Honduras,275,69,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.5,0.1,1400
Guatemala,50,69,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,82.5,0.1,1219.2
Thailand,1,1,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,82.5,0.12,800
Thailand,50,20,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,82.5,0.11,1450
"Tanzania, United Republic Of",37,60,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,82.5,0.12,1600
"Tanzania, United Republic Of",5,60,7.75,7,7.42,7.58,7.58,7.58,10,10,10,7.58,82.5,0.12,NA
Mexico,2,2,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,82.5,0,1600
Brazil,69,60,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,82.5,0.11,1260
Guatemala,250,69,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,82.5,0.12,1310.64
Colombia,250,70,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,82.5,0.11,1750
Guatemala,250,69,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,82.5,0.11,1310.64
Mexico,10,1,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,82.5,0.13,1679
Mexico,10,1,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,82.5,0.12,1100
Mexico,28,1,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,82.5,0.11,1650
Guatemala,275,1,7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,7.5,82.5,0.11,NA
Brazil,300,60,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,82.5,0,1250
Colombia,275,70,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,82.5,0.11,1775
United States (Hawaii),7,100,7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,7.58,82.5,0.12,NA
Guatemala,245,1,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10,10,7.33,82.5,0.01,1600
Honduras,1,2,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,82.42,0.12,1500
Guatemala,50,69,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,82.42,0.1,1700
Guatemala,50,69,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,82.42,0.12,1700
Guatemala,20,69,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,82.42,0.12,157.8864
Guatemala,275,69,7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,7.5,82.42,0.11,NA
Colombia,43,70,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,82.42,0.11,1600
China,3,60,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,82.42,0.1,1600
Brazil,300,60,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,82.42,0.11,NA
"Tanzania, United Republic Of",10,60,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,82.42,0.13,2285
Brazil,320,2,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,82.42,0,1
Guatemala,250,1,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,82.42,0.1,1400
Mexico,10,1,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,82.42,0.11,1296
Brazil,39,60,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42,0.12,1000
Peru,320,5,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10,10,7.5,82.42,0,NA
Brazil,220,60,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,82.42,0,1260
Mexico,10,1,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,82.42,0.12,1170
Honduras,1,2,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,7.67,82.42,0.09,NA
Colombia,250,70,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,82.42,0.11,1775
Mexico,49,1,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,82.42,0.12,1560
Mexico,20,1,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,82.42,0.13,1400
Mexico,35,1,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,82.42,0.14,1300
Mexico,10,1,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,82.42,0.13,1170
Mexico,74,1,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.42,0.11,1300
Mexico,26,1,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,82.42,0.14,1350
Mexico,10,1,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,82.42,0.11,1150
Mexico,1,1,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,82.42,0.13,1250
Mexico,10,1,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,82.42,0.12,1450
Colombia,250,70,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,82.42,0,442
Brazil,51,60,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,82.42,0.11,NA
Colombia,250,70,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,82.42,0,1750
Colombia,0,70,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,82.42,0.02,1750
Honduras,275,69,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,82.33,0.1,1396
Brazil,320,2,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,0.11,982
Brazil,305,59,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,82.33,0.11,NA
Brazil,320,60,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33,0.11,934
Costa Rica,100,69,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,82.33,0.1,1850
Costa Rica,130,69,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,82.33,0,1550
China,3,60,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,82.33,0.12,1580
Brazil,12,2,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33,0.07,1268
Brazil,300,60,7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,7.42,82.33,0.11,NA
Guatemala,275,69,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,82.33,0.1,1676.4
Malawi,10,60,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,82.33,0.12,1450
Brazil,10,2,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,0.11,1100
Guatemala,250,69,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33,0.12,1524
Mexico,320,5,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,7.5,82.33,0.11,NA
Colombia,250,3,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,82.33,0.1,1300
Taiwan,10,20,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,0.11,200
Taiwan,10,30,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,0.11,600
Guatemala,250,69,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82.33,0.12,1310.64
Colombia,250,70,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82.33,0,1750
Mexico,250,1,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82.33,0.12,1300
Costa Rica,275,1,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,7.67,82.33,0,NA
Guatemala,275,69,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82.33,0.11,1752.6
Mexico,10,1,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82.33,0.15,441
Mexico,10,1,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82.33,0.13,1170
Guatemala,250,1,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33,0.1,1310.64
Brazil,16,60,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82.33,0.12,1100
Mexico,10,1,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82.33,0.11,1300
Brazil,44,60,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82.33,0.11,950
Colombia,250,70,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82.33,0,442
Brazil,1062,5,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,0.09,1100
Taiwan,1,10,7,7.08,7,7.17,7,7,10,10,10,10,82.25,0.1,NA
Guatemala,275,69,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82.25,0.11,1450
Brazil,180,2,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82.25,0,1
El Salvador,275,1,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82.25,0.12,1500
Honduras,275,1,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,82.25,0.11,1350
Malawi,10,60,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,82.25,0.13,1180
Brazil,320,2,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25,0.11,1100
Taiwan,35,60,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,82.25,0.11,650
Mexico,150,1,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,82.25,0.12,1338
United States (Hawaii),6,100,7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,7.42,82.25,0,NA
Mexico,10,1,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,82.25,0.16,533
Guatemala,275,69,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,82.25,0.11,1390.8024
Mexico,10,1,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,82.25,0.13,1170
Mexico,40,1,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,82.25,0.12,1250
El Salvador,288,1,7.75,7.33,7.33,7.5,7.5,7.5,10,10,10,7.33,82.25,0,NA
Mexico,250,1,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,82.25,0.11,1100
Mexico,250,1,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,82.25,0.1,900
Colombia,250,70,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,82.25,0.12,1750
Colombia,100,70,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,82.25,0.11,1775
Brazil,84,60,7.67,7.58,7.42,7,7.5,7.58,10,10,10,7.5,82.25,0.12,NA
Colombia,149,70,7.17,7.25,7.58,7.25,7.58,7.67,10,10,10,7.75,82.25,0.22,NA
Brazil,320,60,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,82.17,0.11,934
Honduras,200,69,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,82.17,0.11,1500
Nicaragua,275,69,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82.17,0.1,1000
"Tanzania, United Republic Of",30,80,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,82.17,0.13,1650
"Tanzania, United Republic Of",300,60,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,82.17,0.12,1600
Brazil,320,2,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17,0,1
Thailand,1,1,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,82.17,0.12,800
Honduras,275,1,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,82.17,0.11,1350
Guatemala,250,69,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,82.17,0.09,1500
Brazil,300,60,7.58,7.5,7.42,7.25,7.5,7.42,10,10,10,7.5,82.17,0.12,NA
"Tanzania, United Republic Of",10,60,7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,82.17,0.12,1700
Mexico,200,1,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,82.17,0.12,1100
Mexico,2,2,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82.17,0.1,1400
Taiwan,60,60,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,82.17,0.11,1200
Taiwan,80,10,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,82.17,0,800
Colombia,250,70,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,82.17,0,1750
